statenum,stateabb,statenme,stday,stmonth,styear,endday,endmonth,endyear,source
703,KYR,Kyrgyz Republic,31,8,1991,31,12,2012,list of independent states
704,UZB,Uzbekistan,31,8,1991,31,12,2012,list of independent states
705,KZK,Kazakhstan,16,12,1991,31,12,2012,list of independent states
710,CHN,China,1,1,1816,31,12,2012,list of independent states
711,TBT,Tibet,1,1,1913,1,10,1950,list of independent states
712,MON,Mongolia,13,3,1921,31,12,2012,list of independent states
713,TAW,Taiwan,8,12,1949,31,12,2012,list of independent states
730,KOR,Korea,1,1,1816,22,8,1910,list of independent states
731,PRK,"Korea, People's Republic of",9,9,1948,31,12,2012,list of independent states
732,ROK,"Korea, Republic of",15,8,1948,31,12,2012,list of independent states
740,JPN,Japan,1,1,1816,31,12,2012,list of independent states
750,IND,India,15,8,1947,31,12,2012,list of independent states
760,BHU,Bhutan,1,1,1949,31,12,2012,list of independent states
770,PAK,Pakistan,14,8,1947,31,12,2012,list of independent states
771,BNG,Bangladesh,16,12,1971,31,12,2012,list of independent states
775,MYA,Myanmar (Burma),1,1,1816,31,12,1885,list of independent states
775,MYA,Myanmar (Burma),4,1,1948,31,12,2012,list of independent states
780,SRI,Sri Lanka (Ceylon),4,2,1948,31,12,2012,list of independent states
781,MAD,Maldives,26,5,1965,31,12,2012,list of independent states
790,NEP,Nepal,1,1,1816,31,12,2012,list of independent states
800,THI,Thailand,1,1,1816,31,12,2012,list of independent states
811,CAM,Cambodia (Kampuchea),9,11,1953,31,12,2012,list of independent states
812,LAO,Laos,1,5,1954,31,12,2012,list of independent states
815,VNM,Vietnam (Annam/Cochin China/Tonkin),1,1,1816,1,1,1893,list of independent states
816,DRV,"Vietnam, Democratic Republic of",1,5,1954,31,12,2012,list of independent states
817,RVN,"Vietnam, Republic of",1,5,1954,30,4,1975,list of independent states
820,MAL,Malaysia,31,8,1957,31,12,2012,list of independent states
830,SIN,Singapore,9,8,1965,31,12,2012,list of independent states
835,BRU,Brunei,1,1,1984,31,12,2012,list of independent states
840,PHI,Philippines,4,7,1946,31,12,2012,list of independent states
850,INS,Indonesia,17,8,1945,31,12,2012,list of independent states
860,ETM,East Timor,20,5,2002,31,12,2012,list of independent states
900,AUL,Australia,1,1,1901,31,12,2012,list of independent states
910,PNG,Papua New Guinea,16,9,1975,31,12,2012,list of independent states
920,NEW,New Zealand,1,9,1907,31,12,2012,list of independent states
935,VAN,"Vanuatu				",30,6,1980,31,12,2012,list of microstatesÊ
940,SOL,Solomon Islands,7,7,1978,31,12,2012,list of independent states
950,FJI,Fiji,10,10,1970,31,12,2012,list of independent states
970,KBI,"Kiribati				",12,7,1979,31,12,2012,list of microstatesÊ
971,NAU,"Nauru				",31,12,1968,31,12,2012,list of microstatesÊ
972,TON,"Tonga				",4,6,1970,31,12,2012,list of microstatesÊ
973,TUV,"Tuvalu		",1,10,1978,31,12,2012,list of microstatesÊ
983,MSI,"Marshall Islands		",21,10,1986,31,12,2012,list of microstatesÊ
986,PAL,Palau,1,10,1994,31,12,2012,list of microstatesÊ
987,FSM,"Federated	States of Micronesia		",3,11,1986,31,12,2012,list of microstatesÊ
990,WSM,Samoa/Western Samoa,1,1,1962,31,12,2012,list of microstatesÊ
