gwno,year,WorldBank_pop_estimate,WorldBank_pop_estimate_sd,WorldBank_gdp_2011_ppp_estimate,WorldBank_gdp_2011_ppp_estimate_sd
344,1989,15.2880764640781,0.0877135923133976,24.8968240437001,0.225887108523158
344,1990,15.3029272452137,0.0863022354599861,24.8823519640597,0.215257058732235
344,1991,15.3056020487433,0.0861829622420895,24.7466505581242,0.216635693398423
344,1992,15.307561459064,0.0881085368725624,24.6596601424869,0.214232903352883
344,1993,15.3147690470273,0.0821498799163035,24.5953587497648,0.208756951650823
344,1994,15.3097261086522,0.0820661054999717,24.6228026743563,0.213895351742757
344,1995,15.3051705298011,0.0838152255999204,24.6868634934451,0.220737467038419
344,1996,15.2982115099922,0.0871145755762387,24.7349410443256,0.212913856136324
344,1997,15.2901362732153,0.0832141487173638,24.8088576261826,0.207852641664768
344,1998,15.2825222003429,0.0849967782179398,24.844791950886,0.219011114796107
344,1999,15.2784836560291,0.0837476889343966,24.8705276105734,0.208357662443434
344,2000,15.2748545957165,0.0866803672157963,24.8832519226854,0.219137568658383
344,2001,15.2686545481786,0.0861348772243576,24.9207120616955,0.210968147304071
344,2002,15.263136337322,0.0848071657312051,24.9738432951715,0.212217284824032
344,2003,15.261280257824,0.0860550801139177,25.0340746003677,0.221512424163715
344,2004,15.2674710328265,0.0844149215215886,25.0552172846147,0.216126535084719
344,2005,15.261501471998,0.0889258759892831,25.1215873875971,0.216039130147339
344,2006,15.2606198511085,0.085892998728796,25.1555809405976,0.215036457618429
344,2007,15.2588776012415,0.0892846139529585,25.2181936628701,0.21562951356144
344,2008,15.2548269674746,0.086545646382611,25.2450640586683,0.21577574894792
344,2009,15.2517898524987,0.089157163769469,25.2362354795681,0.212894084388298
344,2010,15.2488823172178,0.0876234863613746,25.2371804126928,0.215512493418562
344,2011,15.2394985758236,0.0880262399565204,25.2478831044262,0.216785132604225
344,2012,15.2315430783667,0.0860959337434963,25.2644262075568,0.216622654289893
344,2013,15.2276473782726,0.0893980115886618,25.2721122168329,0.210193614224633
344,2014,15.222680688123,0.0906325659474461,25.2718482417019,0.215037848131933
344,2015,15.2139794160044,0.0907122810826798,25.2899258700837,0.223959957237213
345,1918,16.2254683360253,0.103919597189572,23.6116653503349,0.262928949424749
345,1919,16.2447072053094,0.0926871255585565,23.6763959684501,0.248510059226759
345,1920,16.2709200632444,0.0865170521489551,23.75579340757,0.226125853256633
345,1921,16.2777281091369,0.089657230916872,23.813856115303,0.220526165607026
345,1922,16.3014032744028,0.0852630518157879,23.8549751775766,0.217746695613231
345,1923,16.3161701785499,0.086641623246731,23.9140630022142,0.214099297634458
345,1924,16.3290405669759,0.08561373408121,23.9856409447571,0.223097228339356
345,1925,16.347772490217,0.0841758732590755,24.0750105925381,0.216939942208238
345,1926,16.3594766726711,0.0869656706625168,24.0944043279952,0.225325762194734
345,1927,16.3775892711863,0.0896873851464091,24.1371356838424,0.218198297000505
345,1928,16.3933858786811,0.084780555910719,24.2131349750835,0.225425775227942
345,1929,16.4060936357363,0.0845425976239395,24.2456069621837,0.209060175032836
345,1930,16.417919293105,0.0872084210501099,24.191525577245,0.224956839854723
345,1931,16.4356850256471,0.0873110824160146,24.1641162236081,0.22311425911555
345,1932,16.4520496966221,0.0836928147291206,24.1379672671554,0.21939502485875
345,1933,16.4678246609782,0.0851186214720193,24.1530542267392,0.217228417977876
345,1934,16.4777118858819,0.086016698980864,24.1448897735026,0.21735211046192
345,1935,16.4965147683667,0.0852407061728222,24.1790035551201,0.224195392077694
345,1936,16.5021192887684,0.0851105040379403,24.2460428223732,0.216024680775
345,1937,16.5168316964837,0.0892646850465611,24.3332787594056,0.20864923171346
345,1938,16.5311715058251,0.0860253776538096,24.3849772646839,0.225002123714204
345,1939,16.5425123626907,0.0848872645495905,24.3758781832422,0.233602630136463
345,1940,16.542188429267,0.0892467574990324,24.376192329171,0.236117696185266
345,1941,16.5355708990669,0.0950768860597266,24.3809818220118,0.254423258821058
345,1942,16.5299504076075,0.0998929224695542,24.3930169897878,0.260380595004166
345,1943,16.5249668697339,0.100052689791044,24.3863438198315,0.26006888565872
345,1944,16.5224816151381,0.103743476793297,24.3944097140775,0.26179417741758
345,1945,16.5190010098065,0.0966086352105725,24.4032924440546,0.247484350159696
345,1946,16.5347769938543,0.0926014036653329,24.3962418055344,0.238280620041595
